Kreis,count,mean_zust,median_zust,mean_age
Reutlingen,154,1.957142857142857,2.0,38.006493506493506
Landkreis Oberspreewald-Lausitz,152,2.0269736842105264,2.0,31.611842105263158
Leer,152,2.317105263157895,2.3,42.13815789473684
Landkreis Günzburg,151,1.7463576158940397,1.9,20.582781456953644
Landkreis Erding,151,1.8887417218543046,1.9,26.423841059602648
Landkreis Vorpommern-Greifswald,150,2.032,2.0,24.92
Heinsberg,150,1.8386666666666667,1.9,30.85333333333333
Oberbergischer Kreis,150,2.3213333333333335,2.3,50.38
Kreis Segeberg,149,2.1355704697986577,2.3,34.604026845637584
Warendorf,148,1.9074324324324325,2.0,42.060810810810814
Bochum,147,2.4489795918367347,2.4,50.08843537414966
GERMERSHEIM,147,2.064625850340136,2.0,47.65986394557823
Landkreis Amberg-Sulzbach,146,2.421232876712329,2.5,46.6986301369863
Rastatt,145,2.0193103448275864,2.0,38.59310344827586
KAISERSLAUTERN,145,2.177241379310345,2.2,51.86896551724138
Waldshut,144,2.334722222222222,2.3,42.74305555555556
Düsseldorf,143,2.248951048951049,2.3,43.05594405594405
Landkreis Vorpommern-Rügen,143,2.209090909090909,2.3,21.20979020979021
Coesfeld,143,2.027972027972028,2.1,44.36363636363637
Landkreis Oder-Spree,143,2.0125874125874126,2.0,23.692307692307693
Landkreis Saarlouis,141,2.3929078014184397,2.4,46.00709219858156
Landkreis Mecklenburgische Seenplatte,141,2.148936170212766,2.2,25.921985815602838
Landkreis Neu-Ulm,140,2.350714285714286,2.4,45.65714285714286
Landkreis Straubing-Bogen,140,1.9607142857142856,2.0,41.84285714285714
SAALE-ORLA-KREIS,140,1.8285714285714285,1.9,21.564285714285713
Rems-Murr-Kreis,139,2.3625899280575537,2.4,48.15107913669065
Landkreis Deggendorf,138,2.1,2.3,40.971014492753625
Helmstedt,138,2.1492753623188405,2.2,33.97826086956522
Essen,138,2.2572463768115942,2.2,51.81159420289855
Landkreis Cham,136,1.9963235294117647,2.0,32.955882352941174
SAALE-HOLZLAND-KREIS,136,1.9286764705882353,2.0,32.338235294117645
Zollernalbkreis,136,2.1404411764705884,2.2,45.875
Landkreis Limburg-Weilburg,135,2.3718518518518517,2.4,44.34814814814815
Olpe,135,2.254074074074074,2.3,46.977777777777774
Landkreis St. Wendel,135,2.4051851851851853,2.4,49.614814814814814
Landkreis Uckermark,133,2.0473684210526315,2.0,26.842105263157894
Grafschaft Bentheim,133,2.142857142857143,2.3,31.571428571428573
Landeshauptstadt Stuttgart,133,2.5428571428571427,2.5,44.2406015037594
Rheinisch-Bergischer Kreis,129,2.1992248062015505,2.2,52.89922480620155
Braunschweig,128,2.2140625,2.2,35.2734375
Main - Taunus - Kreis,128,2.35625,2.4,47.984375
Alb-Donau-Kreis,127,1.8362204724409448,1.9,32.039370078740156
DONNERSBERGKREIS,127,2.100787401574803,2.0,40.20472440944882
VULKANEIFEL,126,2.11984126984127,2.1500000000000004,49.75396825396825
Ludwigsburg,125,2.4295999999999998,2.5,55.512
Kreis Steinburg,125,2.0928,2.2,32.936
Diepholz,124,2.236290322580645,2.2,47.95161290322581
Kreis Herzogtum Lauenburg,123,2.356910569105691,2.4,39.46341463414634
Landkreis Mühldorf a.Inn,123,1.7219512195121953,1.8,25.67479674796748
SÜDWESTPFALZ,120,2.1075,2.1500000000000004,40.1
Schaumburg,120,2.265,2.3,41.34166666666667
WARTBURGKREIS,119,1.9352941176470588,2.0,28.941176470588236
Landkreis Barnim,119,1.8747899159663866,1.9,33.36974789915966
Landkreis Spree-Neiße,119,2.2067226890756304,2.2,27.915966386554622
Wolfenbüttel,118,2.2415254237288136,2.3,40.24576271186441
Wuppertal,117,2.3803418803418803,2.4,47.36752136752137
Cloppenburg,117,2.3076923076923075,2.3,45.30769230769231
Wittenberg,117,2.292307692307692,2.3,30.854700854700855
Rotenburg (Wümme),117,2.0034188034188034,1.9,34.085470085470085
Schwäbisch Hall,117,2.4683760683760685,2.4,56.495726495726494
Saarpfalz-Kreis,116,2.350862068965517,2.4,61.077586206896555
Landkreis Märkisch-Oderland,116,2.1448275862068966,2.2,27.46551724137931
Emmendingen,116,2.387068965517241,2.4,49.46551724137931
Oldenburg (Oldenburg),115,2.270434782608696,2.2,47.573913043478264
Oldenburg,115,2.2860869565217388,2.3,52.391304347826086
Kreis Schleswig-Flensburg,115,2.24695652173913,2.3,50.3304347826087
BAD KREUZNACH,114,2.243859649122807,2.2,47.99122807017544
Landkreis Altötting,113,1.9991150442477876,2.0,31.256637168141594
Landkreis Coburg,112,2.1196428571428574,2.2,31.696428571428573
Landkreis Nordsachsen,111,2.2567567567567566,2.3,29.27027027027027
